,name,basetime,fctime,diag,obs,mb000
FF925_MAX_S4-VDG-2021121000-1-2021121300-042,VDG-2021121000-1,2021121300,42,ff925_max_s4,21.466894204843538,-3.36140421409371
FF300_MAX_S4-VDG-2021121000-1-2021121300-042,VDG-2021121000-1,2021121300,42,ff300_max_s4,25.845333593723026,-5.91132852361882
Z500_P-VDG-2021121000-1-2021121300-042,VDG-2021121000-1,2021121300,42,z500_p,49426.3719677836,-812.8894198443304
TTE-VDG-2021121000-1-2021121300-048,VDG-2021121000-1,2021121300,48,tte,0.0,483.76589670716385
MSLP_MIN_P-VDG-2021121000-1-2021121300-048,VDG-2021121000-1,2021121300,48,mslp_min_p,97155.93682655154,-6.729629199573537
FF10M_MAX_S4-VDG-2021121000-1-2021121300-048,VDG-2021121000-1,2021121300,48,ff10m_max_s4,16.82528077889908,-0.8378151427170213
FF925_MAX_S4-VDG-2021121000-1-2021121300-048,VDG-2021121000-1,2021121300,48,ff925_max_s4,21.078119837392787,-2.2501283217224035
FF300_MAX_S4-VDG-2021121000-1-2021121300-048,VDG-2021121000-1,2021121300,48,ff300_max_s4,29.350741000000244,-16.950393481340214
Z500_P-VDG-2021121000-1-2021121300-048,VDG-2021121000-1,2021121300,48,z500_p,49786.46542443516,-1088.768429429263
TTE-VDG-2021121000-1-2021121300-054,VDG-2021121000-1,2021121300,54,tte,0.0,397.46761918107535
MSLP_MIN_P-VDG-2021121000-1-2021121300-054,VDG-2021121000-1,2021121300,54,mslp_min_p,97091.03530042284,265.41975148342317
FF10M_MAX_S4-VDG-2021121000-1-2021121300-054,VDG-2021121000-1,2021121300,54,ff10m_max_s4,18.215280079023774,-4.722125376189613
FF925_MAX_S4-VDG-2021121000-1-2021121300-054,VDG-2021121000-1,2021121300,54,ff925_max_s4,23.43112084210956,-7.47729844363996
FF300_MAX_S4-VDG-2021121000-1-2021121300-054,VDG-2021121000-1,2021121300,54,ff300_max_s4,24.70973876398718,-16.395480602220406
Z500_P-VDG-2021121000-1-2021121300-054,VDG-2021121000-1,2021121300,54,z500_p,49703.13064732175,-687.6303344107946
TTE-VDG-2021121000-1-2021121300-060,VDG-2021121000-1,2021121300,60,tte,0.0,492.72407816960117
MSLP_MIN_P-VDG-2021121000-1-2021121300-060,VDG-2021121000-1,2021121300,60,mslp_min_p,97207.38880503176,981.3483359266684
FF10M_MAX_S4-VDG-2021121000-1-2021121300-060,VDG-2021121000-1,2021121300,60,ff10m_max_s4,19.747482257361764,-4.308021988585288
FF925_MAX_S4-VDG-2021121000-1-2021121300-060,VDG-2021121000-1,2021121300,60,ff925_max_s4,25.68335123123313,-7.934699602522219
FF300_MAX_S4-VDG-2021121000-1-2021121300-060,VDG-2021121000-1,2021121300,60,ff300_max_s4,19.914865662346706,-5.122065455734072
Z500_P-VDG-2021121000-1-2021121300-060,VDG-2021121000-1,2021121300,60,z500_p,49949.23952396718,-654.6767894442091
TTE-VDG-2021121000-1-2021121400-000,VDG-2021121000-1,2021121400,0,tte,0.0,20.975958882551048
MSLP_MIN_P-VDG-2021121000-1-2021121400-000,VDG-2021121000-1,2021121400,0,mslp_min_p,96859.6035124035,107.35397847882996
FF10M_MAX_S4-VDG-2021121000-1-2021121400-000,VDG-2021121000-1,2021121400,0,ff10m_max_s4,20.329295673969906,-2.4962915847337968
FF925_MAX_S4-VDG-2021121000-1-2021121400-000,VDG-2021121000-1,2021121400,0,ff925_max_s4,25.46211727055368,-3.5868671421427933
