,name,basetime,fctime,diag,obs,mb000
MSLP_MIN_P-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,mslp_min_p,96859.6035124035,59.47172207960102
FF10M_MAX_S4-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,ff10m_max_s4,20.329295673969906,-2.970632736060267
FF925_MAX_S4-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,ff925_max_s4,25.46211727055368,-5.0657972338693575
FF300_MAX_S4-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,ff300_max_s4,17.401193760291427,-1.4225450211055524
Z500_P-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,z500_p,48724.5539523238,-512.4806799116486
TTE-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,tte,0.0,62.579590361734205
MSLP_MIN_P-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,mslp_min_p,96838.53933714287,52.64259834100085
FF10M_MAX_S4-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,ff10m_max_s4,20.640998082771954,-3.5575830365426846
FF925_MAX_S4-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,ff925_max_s4,26.405038613006727,-5.738503974797197
FF300_MAX_S4-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,ff300_max_s4,18.733050440568224,-0.7711751729065099
Z500_P-VDG-2021121000-1-2021121200-054,VDG-2021121000-1,2021121200,54,z500_p,48905.155762568844,-628.0764386009178
TTE-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,tte,0.0,107.03772361371921
MSLP_MIN_P-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,mslp_min_p,97020.6343201393,135.91253985936055
FF10M_MAX_S4-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,ff10m_max_s4,18.51718839041359,-1.5813745048605945
FF925_MAX_S4-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,ff925_max_s4,23.374767370400686,-2.115871859228033
FF300_MAX_S4-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,ff300_max_s4,20.460646587979898,3.3721128200956514
Z500_P-VDG-2021121000-1-2021121200-060,VDG-2021121000-1,2021121200,60,z500_p,49090.79485833026,-505.32228314683744
TTE-VDG-2021121000-1-2021121200-066,VDG-2021121000-1,2021121200,66,tte,0.0,57.05794059158994
MSLP_MIN_P-VDG-2021121000-1-2021121200-066,VDG-2021121000-1,2021121200,66,mslp_min_p,97118.37829666608,248.238060144271
FF10M_MAX_S4-VDG-2021121000-1-2021121200-066,VDG-2021121000-1,2021121200,66,ff10m_max_s4,17.08903661321997,1.5753438658895647
FF925_MAX_S4-VDG-2021121000-1-2021121200-066,VDG-2021121000-1,2021121200,66,ff925_max_s4,21.466894204843538,1.8446853925414786
FF300_MAX_S4-VDG-2021121000-1-2021121200-066,VDG-2021121000-1,2021121200,66,ff300_max_s4,25.845333593723026,3.5982377696655163
Z500_P-VDG-2021121000-1-2021121200-066,VDG-2021121000-1,2021121200,66,z500_p,49426.3719677836,-581.0064424932716
TTE-VDG-2021121000-1-2021121200-072,VDG-2021121000-1,2021121200,72,tte,0.0,27.334041480398255
MSLP_MIN_P-VDG-2021121000-1-2021121200-072,VDG-2021121000-1,2021121200,72,mslp_min_p,97155.93682655154,240.79030127823353
